Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,20.8,13.9,17.5,27.6,10.8,44.5,58.4,41.9,26.6,45.9,14.2,0.5,322.6
Baja California,47.3,10.3,0.0,4.8,0.1,0.9,0.2,0.0,55.4,0.2,15.5,47.8,182.5
Baja California Sur,19.0,0.4,0.0,2.5,1.0,1.1,15.7,64.8,133.6,0.5,18.7,10.6,267.9
Campeche,33.9,63.7,21.9,51.2,89.2,114.1,213.5,263.9,204.4,143.6,144.3,68.0,1411.7
Ciudad de México,1.3,1.7,33.2,60.2,63.0,84.3,204.9,139.4,114.6,52.7,15.4,7.3,778.0
Coahuila,7.7,24.5,61.3,31.5,66.2,77.2,25.9,17.3,43.2,35.0,17.8,9.6,417.2
Colima,0.8,0.0,9.5,1.3,4.2,45.3,155.5,116.0,137.4,125.8,87.1,9.3,692.2
Chiapas,17.0,39.7,14.4,37.3,62.4,198.8,181.5,180.6,339.8,183.3,181.6,39.3,1475.7
Chihuahua,7.8,7.8,12.4,32.8,24.2,37.9,97.8,110.1,68.3,5.9,20.7,29.7,455.4
Durango,27.1,6.2,15.0,22.5,19.2,50.6,82.5,56.5,65.9,12.6,21.8,13.3,393.2
Guanajuato,2.6,1.4,28.8,42.7,28.8,82.5,109.4,101.4,35.1,45.5,11.5,0.1,489.8
Guerrero,0.1,0.0,7.3,8.8,21.0,141.6,152.9,105.2,169.7,179.3,28.0,9.8,823.7
Hidalgo,7.8,7.3,62.8,78.9,90.3,69.5,42.8,51.9,64.0,85.4,19.5,5.4,585.6
Jalisco,5.2,1.8,17.7,26.7,21.0,111.4,136.5,107.0,76.2,50.9,25.2,0.4,580.0
Estado de México,2.0,1.0,19.9,25.3,33.7,93.6,129.7,96.3,86.9,35.8,11.6,4.6,540.4
Michoacán,2.8,0.2,7.2,10.2,12.8,70.5,111.8,109.0,60.2,52.2,20.5,1.3,458.7
Morelos,0.3,0.3,13.0,53.5,32.4,106.2,131.2,99.7,125.0,104.4,27.8,12.7,706.5
Nayarit,49.4,15.3,7.2,26.6,4.2,127.0,275.0,389.9,149.7,71.3,84.8,13.2,1213.6
Nuevo León,9.8,12.6,90.3,95.7,63.5,40.1,14.4,17.3,80.6,96.2,22.7,4.4,547.6
Oaxaca,12.6,8.7,17.6,34.6,33.7,141.1,213.9,124.3,243.0,287.8,151.9,17.5,1286.7
Puebla,8.0,28.4,81.6,60.3,82.0,96.2,321.3,183.0,267.7,190.8,77.5,26.4,1423.2
Querétaro,1.1,0.0,15.7,53.8,42.2,38.4,261.3,34.0,22.9,21.7,5.4,0.2,496.7
Quintana Roo,45.1,73.1,24.4,53.7,34.3,174.1,84.0,124.1,249.5,121.6,234.7,46.8,1265.4
San Luis Potosí,11.8,11.8,73.2,85.3,63.5,91.2,86.0,63.2,82.1,173.4,18.0,4.8,764.3
Sinaloa,30.9,1.0,3.5,33.6,7.0,32.4,116.9,148.7,160.6,24.6,64.8,46.6,670.6
Sonora,3.2,8.2,3.2,11.6,11.2,7.2,59.9,134.0,56.4,3.4,37.5,59.8,395.6
Tabasco,124.3,159.5,40.6,84.3,154.3,162.4,177.5,219.8,340.4,269.8,308.4,93.4,2134.7
Tamaulipas,6.4,12.1,124.6,125.0,80.7,83.3,15.7,30.4,92.5,199.4,27.8,10.7,808.5
Tlaxcala,9.0,1.2,42.5,100.0,89.3,71.1,75.3,99.9,117.7,72.5,32.6,9.8,720.9
Veracruz,36.8,28.3,61.6,80.4,109.6,142.2,245.2,177.1,254.6,205.4,174.0,35.1,1550.3
Yucatán,18.6,20.3,8.5,52.6,75.2,101.4,130.9,119.0,105.6,113.8,65.4,23.3,834.6
Zacatecas,30.2,9.8,13.0,20.1,23.6,62.3,99.6,63.8,38.8,34.2,23.2,5.5,424.1
Nacional,16.8,15.8,28.3,38.5,39.6,75.0,105.6,103.3,115.7,77.1,51.5,24.9,692.1
