Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,4.1,5.7,6.5,8.2,11.9,13.4,13.0,12.9,12.5,9.8,7.8,4.7,9.2
Baja California,7.5,6.4,8.0,10.7,14.1,16.8,18.3,20.0,19.3,13.9,10.5,8.1,12.8
Baja California Sur,9.6,9.9,12.1,13.6,16.3,19.7,22.5,22.7,23.0,18.9,15.9,12.7,16.4
Campeche,18.2,19.1,19.3,21.4,22.9,22.8,22.3,22.4,22.1,21.7,19.6,19.8,21.0
Coahuila,5.6,8.0,11.1,15.7,18.2,21.4,20.8,21.6,19.2,15.6,10.2,6.6,14.5
Colima,17.8,17.4,17.6,14.1,20.1,22.4,22.7,22.5,22.6,22.8,21.2,19.8,20.1
Chiapas,17.1,17.7,17.7,18.3,20.7,20.7,20.0,20.3,20.1,19.9,17.7,16.8,18.9
Chihuahua,0.7,2.6,5.4,12.8,13.0,18.1,17.7,17.3,15.0,10.5,6.5,2.6,10.2
Ciudad de México,7.3,8.9,9.5,11.5,12.2,12.8,12.1,12.7,11.9,11.4,9.3,8.2,10.7
Durango,1.9,3.9,5.4,8.8,11.9,15.3,15.0,14.5,13.3,10.2,6.8,3.7,9.2
Guanajuato,5.6,8.9,9.1,10.2,13.4,14.6,14.2,14.1,13.1,10.8,8.0,6.5,10.7
Guerrero,17.1,17.5,18.2,17.1,20.8,20.9,20.2,20.3,19.9,19.8,18.3,17.2,18.9
Hidalgo,6.2,7.6,8.4,11.0,12.6,13.8,13.5,13.6,13.5,10.9,9.1,7.2,10.6
Jalisco,8.8,9.9,10.1,11.6,15.2,16.9,16.0,16.0,15.6,14.2,11.7,9.0,12.9
Estado de México,3.9,5.2,5.8,7.2,9.1,10.5,10.5,10.6,11.1,8.1,5.8,4.5,7.7
Michoacán,8.0,8.8,10.0,11.4,14.3,15.9,15.1,14.7,14.8,14.1,11.1,8.6,12.2
Morelos,10.6,12.1,12.7,14.5,16.0,16.2,15.1,15.5,15.5,14.3,12.5,11.4,13.9
Nayarit,13.3,14.1,14.2,15.6,19.5,22.5,22.5,22.6,22.6,22.2,19.5,16.4,18.8
Nuevo León,7.7,10.5,12.1,15.8,18.5,20.7,20.9,20.9,19.4,16.3,12.1,8.5,15.3
Oaxaca,14.7,16.3,16.5,18.1,19.8,19.9,19.5,19.5,19.7,19.1,16.3,15.1,17.9
Puebla,7.6,8.7,9.7,11.5,12.5,13.1,12.7,13.1,13.2,11.3,9.3,8.2,10.9
Querétaro,7.3,9.1,9.6,12.1,14.2,14.8,14.2,14.1,14.2,11.8,10.1,7.5,11.6
Quintana Roo,20.0,20.0,20.2,22.8,23.7,24.4,24.0,24.2,24.0,23.1,20.4,21.0,22.3
San Luis Potosí,9.7,12.4,14.0,15.5,18.9,20.5,20.1,19.9,19.6,16.7,14.1,11.8,16.1
Sinaloa,9.7,10.1,11.2,15.3,18.2,23.3,23.5,23.5,22.9,19.8,16.8,13.0,17.3
Sonora,4.7,5.1,8.3,11.3,15.7,21.5,23.0,22.8,20.7,14.3,11.3,6.5,13.8
Tabasco,17.9,19.9,19.8,20.3,23.2,23.1,22.8,23.1,23.0,22.5,20.0,19.9,21.3
Tamaulipas,12.1,14.4,15.8,18.9,21.4,23.3,23.2,23.5,22.4,19.4,15.1,12.5,18.5
Tlaxcala,2.9,4.8,4.7,6.9,8.4,9.6,8.9,9.2,9.9,7.2,5.2,3.8,6.8
Veracruz,14.2,15.8,16.0,18.3,19.8,20.3,19.7,19.8,19.9,18.6,15.7,14.8,17.7
Yucatán,17.4,18.2,17.7,20.4,21.6,22.1,21.4,22.0,21.6,20.8,18.1,18.4,20.0
Zacatecas,2.9,4.8,5.9,7.5,11.1,13.3,13.2,12.9,12.2,9.7,7.2,4.2,8.7
Nacional,8.4,9.7,11.2,13.9,16.5,19.3,19.2,19.3,18.4,15.5,12.3,9.7,14.5
