Estado,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic,Anual
Aguascalientes,14.0,16.8,17.8,19.3,22.0,20.8,19.4,20.1,20.6,18.6,,,
Baja California,12.1,15.0,15.0,16.9,20.5,23.5,25.6,26.7,25.6,20.5,,,
Baja California Sur,17.0,19.0,20.0,21.8,23.9,26.9,28.7,29.8,29.2,26.2,,,
Campeche,24.6,26.4,27.7,28.7,31.6,30.1,29.8,29.2,29.1,27.9,,,
Coahuila,11.9,17.6,21.8,24.8,27.6,29.3,28.1,29.6,27.1,24.6,,,
Colima,25.3,25.9,25.2,25.5,28.2,28.3,28.5,28.6,28.6,28.0,,,
Chiapas,23.5,25.1,26.2,26.3,28.1,26.3,26.3,26.4,26.4,25.8,,,
Chihuahua,8.3,14.6,15.5,18.9,22.5,26.6,25.0,25.3,23.4,20.6,,,
Ciudad de México,15.9,17.5,19.8,20.2,21.6,19.2,18.7,19.0,19.3,17.9,,,
Durango,12.2,15.8,17.6,20.4,23.1,25.0,22.5,23.1,22.2,20.5,,,
Guanajuato,15.8,18.1,19.6,21.1,23.5,21.1,20.0,20.5,20.7,19.0,,,
Guerrero,24.0,25.6,26.2,26.7,28.0,25.6,25.9,25.9,25.5,25.3,,,
Hidalgo,15.5,17.8,19.9,20.5,23.2,21.1,20.3,20.8,21.1,18.5,,,
Jalisco,18.2,20.2,21.0,22.5,24.8,24.4,23.3,23.3,23.9,22.7,,,
Estado de México,13.1,14.5,16.3,16.6,18.5,17.0,16.4,16.8,17.1,15.5,,,
Michoacán,17.5,19.3,20.7,21.6,23.8,21.6,20.9,20.9,20.7,20.8,,,
Morelos,19.8,22.6,24.6,25.5,26.3,23.3,22.4,22.6,22.5,21.9,,,
Nayarit,20.1,22.5,22.0,24.2,26.6,28.6,28.2,28.3,28.1,27.9,,,
Nuevo León,13.5,19.0,22.6,25.0,27.4,27.6,28.4,28.8,26.5,24.3,,,
Oaxaca,21.3,23.7,24.8,25.5,26.9,24.7,25.2,25.0,24.3,23.5,,,
Puebla,15.3,17.6,19.6,20.1,22.1,19.9,19.6,20.0,19.5,18.5,,,
Querétaro,16.4,18.9,21.0,21.9,24.8,22.3,21.2,21.5,21.3,19.5,,,
Quintana Roo,24.6,26.0,26.8,27.5,29.9,29.4,29.7,29.8,29.2,28.3,,,
San Luis Potosí,17.0,20.7,23.5,25.1,28.1,25.6,25.0,26.3,25.8,23.3,,,
Sinaloa,19.3,21.5,22.0,24.9,27.6,31.2,30.4,30.6,30.1,29.0,,,
Sonora,13.6,17.8,18.2,21.2,24.4,30.0,31.1,32.0,29.5,25.6,,,
Tabasco,24.5,25.9,27.7,28.5,31.3,29.7,29.8,29.7,29.1,28.1,,,
Tamaulipas,17.0,20.8,24.5,26.5,29.5,29.2,28.9,30.2,28.6,26.6,,,
Tlaxcala,12.7,14.4,16.2,16.3,18.4,16.2,16.3,16.4,16.8,15.3,,,
Veracruz,18.6,20.9,23.0,23.7,26.7,24.7,25.5,26.1,25.3,23.7,,,
Yucatán,23.8,25.9,26.9,27.6,30.8,29.7,29.3,29.2,28.7,27.4,,,
Zacatecas,13.3,16.0,16.5,19.0,22.2,21.8,20.0,20.5,20.1,18.4,,,
Nacional,15.9,19.3,20.8,22.8,25.5,26.4,26.1,26.6,25.5,23.5,,,
